"제목";"도로명주소";"지번주소";"위도";"경도"
"삼도1동 오라지구대 뒤";"제주특별자치도 제주시 삼도1동 560-2";"제주특별자치도 제주시 삼도1동 560-2";33.49915844;126.5161719
"노형동 탐라도서관 주차장 내";"제주특별자치도 제주시 노형동 3812-2";"제주특별자치도 제주시 노형동 3812-2";33.4779003;126.4768245
"연동 대림아파트 동측 주차장내";"제주특별자치도 제주시 연동 1499";"제주특별자치도 제주시 연동 1499";33.47867251;126.490582
"오라2동 제주아트센터 주차장 내";"제주특별자치도 제주시 오남로 231";"제주특별자치도 제주시 오라2동 898-8";33.4754636;126.5156482
"연동 설문대여성문화센터 주차장내";"제주특별자치도 제주시 선덕로8길 12";"제주특별자치도 제주시 연동 324-10";33.4844207;126.500595
"연동 로얄쇼핑센터 앞 주차장내";"제주특별자치도 제주시 신대로12길 54";"제주특별자치도 제주시 연동 272-56";33.4889361;126.4908883
"연동 롯데시티호텔 뒤 주차장내";"제주특별자치도 제주시 연동 2322-7";"제주특별자치도 제주시 연동 2322-7";33.49105883;126.4860417
"이도2동 벤처마루 앞";"제주특별자치도 제주시 이도2동 1176-126";"제주특별자치도 제주시 이도2동 1176-126";33.50016657;126.5296602
"일도2동 영락교회 앞";"제주특별자치도 제주시 일도2동 488-9";"제주특별자치도 제주시 일도2동 488-9";33.51068016;126.543517
"삼도2동 탑동해변공연장";"제주특별자치도 제주시 중앙로 2";"제주특별자치도 제주시 삼도2동 1262";33.51814824;126.5241853
"건입동 국민체육센터 앞";"제주특별자치도 제주시 사라봉동길 21-1";"제주특별자치도 제주시 건입동 538";33.5138253;126.5465109
