"콘텐츠분류";"제목";"지번주소";"도로명주소";"위도";"경도"
"빵집";"ABC 베이커리";"제주시 탑동로 11";"제주특별자치도 제주시 삼도이동 1192-17";33.5169512;126.523448
"카페";"And 유 cafe And Yu cafe";"제주시 한림읍 한림로 518";"제주특별자치도 제주시 한림읍 옹포리 203";33.4046453;126.254314
"음식점";"고추냉이식당";"제주시 애월읍 광령5길 8";"제주특별자치도 제주시 애월읍 광령리 2213-1";33.4612159;126.435862
"비건카페";"그날의 조각";"제주시 노형1길 39";"제주특별자치도 제주시 노형동 3801-13";33.4798805;126.47727
"음식점";"그럼피베이비";"제주 서귀포시 안덕면 녹차분재로 65";"제주특별자치도 서귀포시 안덕면 서광리 1394-6";33.2908102;126.300708
"음식점";"그루브제주";"제주시 한림읍 한림로 333";"제주특별자치도 제주시 한림읍 협재리 2447-7";33.3935245;126.240265
"음식점";"깃든";"제주시 구좌읍 해맞이해안로 990-2";"제주특별자치도 제주시 구좌읍 한동리 1369";33.5430803;126.829686
"음식점";"다담";"제주시 서광로 2길 11-18";"제주특별자치도 제주시 오라일동 2444-2";33.498737;126.513637
"음식점";"다소니";"제주시 오남로 6길 24";"제주특별자치도 제주시 오라일동 995-15";33.4906838;126.517728
"카페";"단다사랑방";"제주시 구좌읍 행원로9길 4-15";"제주특별자치도 제주시 구좌읍 행원리 689";33.5539863;126.809107
"음식점";"담아래";"제주시 수목원길 23";"제주특별자치도 제주시 연동 1318-3";33.4694463;126.487359
"음식점";"덕성원";"제주 서귀포시 서귀동 태평로 401번길 4";"제주 서귀포시 서귀동 태평로 401번길 4";33.2449676;126.563509
"음식점";"러빙헛";"제주특별자치도 서귀포시 남원읍 일주동로 7036 (태흥리)";"제주특별자치도 서귀포시 남원읍 태흥리 1752-2";33.2856785;126.728293
"카페";"루루비건";"제주시 연북로 28 2층";"제주특별자치도 제주시 노형동 719-4 2층";33.4816777;126.484414
"빵집";"르에스까르고";"제주시 월랑로 2길 29";"제주특별자치도 제주시 노형동 1291-24 2층";33.4884097;126.481598
"음식점";"모녀의 부엌";"제주 서귀포시 516로 472";"제주특별자치도 서귀포시 상효동 1301-10";33.2933293;126.594971
"음식점";"무조리실";"제주시 관덕로 6길 14";"제주특별자치도 제주시 삼도이동 971-2";33.511887;126.521818
"음식점";"미나마라";"제주시 한림로 702";"제주특별자치도 제주시 한림읍 대림리 1818-1";33.4173401;126.264957
"음식점";"밥짓는 시간";"제주시 구좌읍 평대5길 25 2층";"제주특별자치도 제주시 구좌읍 평대리 623-1 2층";33.5310954;126.841078
"음식점";"뱅인타코";"제주 서귀포시 대정읍 에듀시티로 74";"제주특별자치도 서귀포시 대정읍 보성리 2405";33.2896217;126.282049
"음식점";"보틀앤볼";"제주 서귀포시 일주동로 8712-2";"제주특별자치도 서귀포시 서홍동 445-15";33.2527904;126.557503
"빵집";"보헴";"제주시 원노형로 102 한화아파트 상가동 103호";"제주특별자치도 제주시 노형동 731-2 한화아파트 상가동 103호";33.4796021;126.483964
"빵집";"블랑제리";"제주 서귀포시 동홍중앙로 52번길 2";"제주특별자치도 서귀포시 동홍동 499-5";33.2552594;126.572493
"음식점";"비건테이블 바람";"제주시 애월읍 납읍동 1길 18-14";"제주특별자치도 제주시 애월읍 납읍리 1794-1";33.4423062;126.328657
"음식점";"비스트로 더 반";"제주시 관덕로 4길 6";"제주특별자치도 제주시 삼도이동 943-2";33.5124527;126.521223
"음식점";"삼공오공 식당";"제주 서귀포시 서문로 5";"제주특별자치도 서귀포시 서귀동 299-7";33.2520079;126.560555
"카페";"선샤인워크";"서귀포시 소보리당로 40-4";"제주특별자치도 서귀포시 상예동 3162-1";33.2480191;126.389339
"음식점";"소요 0617";"제주 서귀포시 남원읍 태위로 834번길 11-6";"	제주특별자치도 서귀포시 남원읍 태흥리 1216-1";33.2821773;126.73526
"음식점";"수월";"제주시 한경면 고산로 26-1";"제주특별자치도 제주시 한경면 고산리 2210-2";33.303386;126.179784
"음식점";"숲속의도토리";"제주시 도근내길 18";"제주특별자치도 제주시 외도일동 430-9";33.4924608;126.433001
"빵집";"시스터필드";"제주 서귀포시 서귀포시 월드컵로 8";"제주특별자치도 서귀포시 강정동 231-2";33.2489769;126.507378
"음식점";"아로미에식당";"제주시 구좌읍 세평항로 46-12";"	제주특별자치도 제주시 구좌읍 세화리 3644-1";33.52657;126.856221
"음식점";"아살람";"제주시 중앙로 2길 7";"제주특별자치도 제주시 삼도이동 1-2";33.5165575;126.524225
"음식점";"와르다레스토랑";"제주시 관덕로 8길 24-1";"제주특별자치도 제주시 삼도이동 148-3";33.5110447;126.523168
"음식점";"인디언키친";"제주시 애월읍 애원로 191";"제주특별자치도 제주시 애월읍 상가리 2059-1";33.4503791;126.331004
"음식점";"작은부엌";"제주시 조천읍 선흘동2길 1";"제주특별자치도 제주시 조천읍 선흘리 1123";33.5117327;126.705887
"음식점";"제주901";"제주시 1100로 2977-10 2층";"제주특별자치도 제주시 노형동 288-39 2층";33.4529976;126.486456
"카페";"제주그대로";"제주 서귀포시 중앙로 79번길 8 1층";"제주특별자치도 서귀포시 서귀동 298-3 1층";33.2515114;126.560385
"음식점";"제주돔베막국수";"제주시 한경면 고산로 35";"제주특별자치도 제주시 한경면 고산리 2749-3";33.3041593;126.179465
"카페";"제주소녀";"제주시 구좌읍 비자숲길 21";"제주특별자치도 제주시 구좌읍 평대리 3193-1";33.4946294;126.811714
"음식점";"젠하이드 어웨이";"제주 서귀포시 대정읍 형제해안로 260";"제주특별자치도 서귀포시 대정읍 상모리 77-2";33.2113645;126.291871
"음식점";"칠분의오";"제주시 구좌읍 종달로 1길 123";"제주특별자치도 제주시 구좌읍 종달리 565-55";33.4963897;126.90842
"빵집";"카페 빠네띠에";"제주 제주시 신설로 9길 25";"제주특별자치도 제주시 이도이동 1959-1";33.4946593;126.546136
"카페";"카페 유루유루";"제주 서귀포시 안덕면 산방로 367-1";"제주특별자치도 서귀포시 안덕면 사계리 2668-2";33.2311876;126.297633
"카페";"칵투스타코스";"제주 서귀포시 천제연로 266";"제주특별자치도 서귀포시 중문동 1884-5";33.2508694;126.433304
"음식점";"타코마씸";"제주시 구좌읍 해맞이해안로 474";"제주특별자치도 제주시 구좌읍 월정리 13";33.5550852;126.797227
"음식점";"탑해장국";"제주시 월랑로 10길 17";"제주특별자치도 제주시 노형동 1044-14";33.4901047;126.477305
"음식점";"톰톰카레";"제주시 구좌읍 해맞이해안로 1112";"제주특별자치도 제주시 구좌읍 평대리 2033-1";33.5373658;126.837535
"음식점";"푸른솔맑은향";"제주시 고사마루길 125";"제주특별자치도 제주시 노형동 1625-1";33.4713226;126.474707
